2020-1-1,Idéaliste
2020-1-2,Memorable
2020-1-3,Vif
2020-1-4,Emotionnel
2020-1-5,Franc
2020-1-6,Aventurier
2020-1-7,Professionnel 
2020-1-8,Equilibre 
2020-1-9,Objectif 
2020-1-10,Naturel 
2020-1-11,Ferme  
2020-1-12,Avant-gardiste  
2020-1-13,En forme 
2020-1-14,Manuel 
2020-1-15,Curieux 
2020-1-16,Entreprenant 
2020-1-17,Intelligent 
2020-1-18,Inspirant 
2020-1-19,Raffine 
2020-1-20,Entrainant 
2020-1-21,Impulsif 
2020-1-22,Fin 
2020-1-23,Libre 
2020-1-24,Elogieux 
2020-1-25,Diplomate 
2020-1-26,Raisonnable 
2020-1-27,Rapide 
2020-1-28,Luxueux 
2020-1-29,Subtil 
2020-1-30,Pacifique 
2020-1-31,Content
2020-2-1,Méditatif 
2020-2-2,Régulier 
2020-2-3,Animé 
2020-2-4,Reconnaissant 
2020-2-5,Simple 
2020-2-6,Cultivé 
2020-2-7,Judicieux 
2020-2-8,Songeur 
2020-2-9,Délicat 
2020-2-10,Concis 
2020-2-11,Accessible 
2020-2-12,Humble 
2020-2-13,Enjoué 
2020-2-14,Romantique 
2020-2-15,Influent 
2020-2-16,Conscient 
2020-2-17,Poli 
2020-2-18,Inventif 
2020-2-19,Hilarant 
2020-2-20,Ordonné 
2020-2-21,Réfléchi 
2020-2-22,Fédérateur 
2020-2-23,Alerte 
2020-2-24,Brillant 
2020-2-25,Attentif 
2020-2-26,Encourageant 
2020-2-27,Tenace 
2020-2-28,Enthousiaste 
2020-2-29,Exceptionnel 
2020-3-1,Affectueux
2020-3-2,Philanthrope
2020-3-3,Élégant
2020-3-4,Calme
2020-3-5,Agile
2020-3-6,Abordable
2020-3-7,Honorable
2020-3-8,Sensé
2020-3-9,Réparateur
2020-3-10,Perceptif
2020-3-11,Audacieux
2020-3-12,Prévoyant
2020-3-13,Contemplatif
2020-3-14,Excellent 
2020-3-15,Courtois 
2020-3-16,Provocant 
2020-3-17,Sociable 
2020-3-18,Ouvert d'esprit 
2020-3-19,Instinctif 
2020-3-20,International 
2020-3-21,Poétique 
2020-3-22,Fluide 
2020-3-23,Conciliant 
2020-3-24,Visionnaire 
2020-3-25,Délibéré 
2020-3-26,Spontané 
2020-3-27,Introspectif 
2020-3-28,Sécurisant 
2020-3-29,Astucieux 
2020-3-30,Communicatif 
2020-3-31,Habile
2020-4-1,Espiègle 
2020-4-2,Serein 
2020-4-3,Admirable 
2020-4-4,Sincère 
2020-4-5,Ingénieux 
2020-4-6,Amusant 
2020-4-7,Dynamique 
2020-4-8,Observateur 
2020-4-9,Pragmatique 
2020-4-10,Fraternel 
2020-4-11,Musical 
2020-4-12,Vivant 
2020-4-13,Unificateur 
2020-4-14,Génial 
2020-4-15,Patient 
2020-4-16,Facile â vivre 
2020-4-17,Expressif 
2020-4-18,Efficace 
2020-4-19,Indulgent 
2020-4-20,Amical 
2020-4-21,Accueillant 
2020-4-22,Véridique 
2020-4-23,Lumineux 
2020-4-24,Libéral 
2020-4-25,Rassurant 
2020-4-26,Ponctuel 
2020-4-27,Jovial 
2020-4-28,Vigilant 
2020-4-29,Persévérant 
2020-4-30,Honnête 
2020-5-1,Volontaire 
2020-5-2,Solide 
2020-5-3,Éclairant 
2020-5-4,Universel 
2020-5-5,Artistique 
2020-5-6,Doux 
2020-5-7,Adroit 
2020-5-8,Bâtisseur 
2020-5-9,Digne 
2020-5-10,Empathique 
2020-5-11,impliqué 
2020-5-12,Abondant 
2020-5-13,Ardent 
2020-5-14,Apaisant
2020-5-15,Complice
2020-5-16,Exact
2020-5-17,Prêt 
2020-5-18,Divertissant 
2020-5-19,Sexy 
2020-5-20,Optimiste 
2020-5-21,Beau 
2020-5-22,Souple 
2020-5-23,Travailleur 
2020-5-24,Clair 
2020-5-25,Délicieux 
2020-5-26,Structuré 
2020-5-27,Utile 
2020-5-28,Studieux 
2020-5-29,Consolant 
2020-5-30,Discret 
2020-5-31,Tondre 
2020-6-1,Enfantin 
2020-6-2,Riche 
2020-6-3,Confiant 
2020-6-4,Profond 
2020-6-5,Écologique 
2020-6-6,Prospère 
2020-6-7,Aimable 
2020-6-8,Excentrique 
2020-6-9,Prévenant 
2020-6-10,Déterminé 
2020-6-11,Approprié 
2020-6-12,Bénévole 
2020-6-13,Proche 
2020-6-14,Respectable 
2020-6-15,Épanoui 
2020-6-16,Coloré 
2020-6-17,Débrouillard 
2020-6-18,Serviable
2020-6-19,Bienvellant
2020-6-20,Sophistiqué
2020-6-21,Miséricordieux
2020-6-22,Connecté
2020-6-23,Attendrissant
2020-6-24,Joyeux
2020-6-25,Harmonieux
2020-6-26,Charmant
2020-6-27,Passionné
2020-6-28,Authentique
2020-6-29,Propice
2020-6-30,Imaginatif
2020-7-1,Gracieux
2020-7-2,Original
2020-7-3,Drôle
2020-7-4,Indépendant
2020-7-5,Pur
2020-7-6,Affirmé
2020-7-7,Puissant
2020-7-8,Aimant
2020-7-9,Guide
2020-7-10,Philosophe
2020-7-11,Galant
2020-7-12,Cool
2020-7-13,Constant
2020-7-14,Révolutionnaire
2020-7-15,Charitable
2020-7-16,Épicurien
2020-7-17,Juste
2020-7-18,Fort
2020-7-19,Taientueux
2020-7-20,Fidèle
2020-7-21,Féminin
2020-7-22,Robuste
2020-7-23,Vaillant
2020-7-24,Perspicace
2020-7-25,Fiable
2020-7-26,Lucide
2020-7-27,Familial
2020-7-28,Compatissant
2020-7-29,Organisé
2020-7-30,Amical
2020-7-31,Spirituel
2020-8-1,Fascinant
2020-8-2,Soigneux
2020-8-3,Dévoué
2020-8-4,Masculin
2020-8-5,Responsable
2020-8-6,Exigeant
2020-8-7,Tompéré
2020-8-8,Rayonnent
2020-8-9,Méticuleux
2020-8-10,coannaisseur
2020-8-11,Coopératif
2020-8-12,Concentré
2020-8-13,Passif
2020-8-14,Loyal
2020-8-15,Télépathe
2020-8-16,impartial
2020-8-17,Sur
2020-8-18,Mysérieux
2020-8-19,Humanitaire
2020-8-20,Valorisant
2020-8-21,Rassembleur
2020-8-22,Altruiste
2020-8-23,Décontracté
2020-8-24,Sage
2020-8-25,Embalé
2020-8-26,Pointu
2020-8-27,Conservateur
2020-8-28,Cohérent
2020-8-29,Décidé
2020-8-30,Fervent
2020-8-31,Clairvoyant
2020-9-1,Positif
2020-9-2,Disponible
2020-9-3,Éthique
2020-9-4,Protecteur
2020-9-5,Bienfaisant
2020-9-6,intuitif
2020-9-7,Actif
2020-9-8,Motivé
2020-9-9,Coordinateur
2020-9-10,Éclairé
2020-9-11,Démonstratif
2020-9-12,Absorbé
2020-9-13,Systématique
2020-9-14,indulgent
2020-9-15,Éloquent
2020-9-16,Paternel
2020-9-17,Magnétique
2020-9-18,Partageant
2020-9-19,Paisible
2020-9-20,Rigoureux
2020-9-21,Agréable
2020-9-22,Fructueux
2020-9-23,Extréme
2020-9-24,Instigateur
2020-9-25,Équitable
2020-9-26,Polyvalant
2020-9-27,Pratique
2020-9-28,Novateur
2020-9-29,Impeccable
2020-9-30,Explicite
2020-10-1,Héroïque 
